name,link,price,mileage,BHP,transmission,fuel,owners,body,ULEZ,engine,year
Nissan Leaf,https://www.autotrader.co.uk/dealers/wiltshire/salisbury/justevs-738370,"£8,495",92300,,Automatic,Electric,2,Hatchback,,,2014 (14 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/leicestershire/anstey/sturgess-anstey-532433,"£11,250",39243,,Automatic,Electric,2,Hatchback,,,2014 (64 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/north-yorkshire/york/alexanders-york-688752,"£11,495",36313,,Automatic,Electric,,Hatchback,,,2014 (64 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/somerset/radstock/drive-green-10011240,"£10,495",54743,107,Automatic,Electric,4,Hatchback,ULEZ,,2014 (64 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/bedfordshire/luton/car-vault-10010202,"£9,794",50882,,Automatic,Electric,,Hatchback,,,2014 (14 reg)
Nissan Leaf,https://www.autotrader.co.uk,"£7,599",76500,,Automatic,Electric,3,Hatchback,,,2014 (64 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/hampshire/eastleigh/parkway-car-sales-ltd-5069,"£10,990",31812,,Automatic,Electric,,Hatchback,,,2014 (14 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/derbyshire/derby/hilton-garage-ltd-4400,"£11,400",31891,,Automatic,Electric,2,Hatchback,,,2014 (14 reg)
Nissan Leaf,https://www.autotrader.co.uk,"£10,510",34399,,Automatic,Electric,3,Hatchback,,,2014 (14 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/worcestershire/kidderminster/kidderminster-motor-house-citroen-main-dealer-1730105,"£11,594",51801,,Automatic,Electric,,Hatchback,,,2014 (14 reg)
Nissan Leaf,https://www.autotrader.co.uk,"£11,000",32100,,Automatic,Electric,2,Hatchback,,,2014 (64 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/middlesex/ashford/mz-autos-10025504,"£9,595",44000,,Automatic,Electric,3,Hatchback,,,2014 (14 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/lancashire/manchester/sj-branagan-10030299,"£10,989",41900,,Automatic,Electric,2,Hatchback,,,2014 (14 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/lancashire/manchester/sj-branagan-10030299,"£8,989",75000,,Automatic,Electric,,Hatchback,,,2014 (14 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/lancashire/manchester/sj-branagan-10030299,"£8,989",51200,,Automatic,Electric,,Hatchback,,,2014 (64 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/hertfordshire/stevenage/stevenage-motor-centre-limited-743467,"£8,989",82044,,Automatic,Electric,,Hatchback,,,2015 (15 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/hertfordshire/stevenage/pound-avenue-car-sales-236394,"£11,495",24759,,Automatic,Electric,,Hatchback,,,2015 (15 reg)
