name,link,price,mileage,BHP,transmission,fuel,owners,body,ULEZ,engine,year
Nissan X-Trail,https://www.autotrader.co.uk/dealers/staffordshire/cannock/windmill-service-station-limited-18586,"£2,999",117000,136,Manual,Diesel,3,SUV,,2.2L,2006 (56 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/berkshire/thatcham/thatcham-motor-company-ltd-10009910,"£6,094",60250,165,Automatic,Petrol,2,SUV,ULEZ,2.5L,2006 (06 reg)
Nissan X-Trail,https://www.autotrader.co.uk,"£2,600",125024,136,Manual,Diesel,4,SUV,,2.2L,2006 (06 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/suffolk/ipswich/michael-martin-car-sales-10025022,"£3,500",112500,165,Automatic,Petrol,,SUV,ULEZ,2.5L,2006 (56 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/bedfordshire/biggleswade/lakeview-cars-165163,"£6,945",39000,136,Manual,Diesel,,SUV,,2.2L,2006 (06 reg)
Nissan X-Trail,https://www.autotrader.co.uk,"£3,995",59000,165,Automatic,Petrol,,SUV,,2.5L,2006 (06 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/leicestershire/leicester/mayfair-motors-ltd-10020597,"£3,594",96000,165,Automatic,Petrol,6,SUV,ULEZ,2.5L,2006 (56 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/cheshire/cheadle/svs-car-sales-27403,"£2,995",95699,136,Manual,Diesel,,SUV,,2.2L,2006 (06 reg)
Nissan X-Trail,https://www.autotrader.co.uk,"£2,295",161000,136,Manual,Diesel,2,SUV,,2.2L,2006 (56 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/lancashire/blackburn/north-west-autos-blackburn-155027,"£4,500",59997,136,Manual,Diesel,,SUV,,2.2L,2006 (56 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/cheshire/ellesmere-port/rainford-cars-10017046,"£2,950",126676,136,Manual,Diesel,3,SUV,,2.2L,2006 (56 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/county-antrim/ballyclare/affordable-cars-and-commercials-10015701,"£2,495",81160,136,Manual,Diesel,6,SUV,,2.2L,
Nissan X-Trail,https://www.autotrader.co.uk,"£1,000",180000,136,Manual,Diesel,2,SUV,,2.2L,
Nissan X-Trail,https://www.autotrader.co.uk/dealers/bedfordshire/bedford/ht-car-sales-10012035,"£2,495",85000,136,Manual,Diesel,,SUV,,2.2L,2006 (56 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/middlesex/greenford/trade-point-10031583,"£2,395",115000,136,Manual,Diesel,,SUV,,2.2L,2007 (57 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/surrey/banstead/wadaa-trader-10034174,"£2,495",124000,165,Automatic,Petrol,3,SUV,ULEZ,2.5L,2007 (07 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/middlesex/west-drayton/first-premier-motors-limited-10020323,"£4,000",95000,,Manual,Diesel,,SUV,,2.0L,2007 (57 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/buckinghamshire/milton-keynes/auto-globe-limited-10008064,"£4,490",101000,,Manual,Diesel,,SUV,,2.0L,2007 (57 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/somerset/bristol/bristol-bargain-cars-10033510,"£2,495",108350,136,Manual,Diesel,3,SUV,,2.2L,2007 (07 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/west-midlands/birmingham/green-flag-motors-ltd-10033003,"£3,250",128000,,Manual,Diesel,4,SUV,,2.0L,2007 (57 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/buckinghamshire/chesham/bucks-cars-chesham-limited-10019543,"£4,495",79382,165,Automatic,Petrol,6,SUV,,2.5L,2007 (57 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/west-midlands/west-bromwich/express-car-sales-10000735,"£3,775",74000,136,Manual,Diesel,,SUV,,2.2L,2007 (57 reg)
Nissan X-Trail,https://www.autotrader.co.uk,"£2,895",107995,,Automatic,Diesel,3,SUV,,2.0L,2007 (57 reg)
Nissan X-Trail,https://www.autotrader.co.uk,"£2,499",129615,,Manual,Diesel,3,SUV,,2.0L,2007 (57 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/cheshire/northwich/cheshire-car-auction-10032278,"£2,500",101000,136,Manual,Diesel,,SUV,,2.2L,2007 (07 reg)
