name,link,price,mileage,BHP,transmission,fuel,owners,body,ULEZ,engine,year
Nissan Navara,https://www.autotrader.co.uk/dealers/west-yorkshire/bradford/beckside-4x4-centre-10575,"£4,000",160000,169,Manual,Diesel,,Pickup,,2.5L,2009 (09 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/berkshire/reading/trade-vans-uk-423118,"£4,794",164542,169,Automatic,Diesel,3,Pickup,,2.5L,2009 (58 reg)
Nissan Navara,https://www.autotrader.co.uk,"£5,000",128788,169,Automatic,Diesel,5,Pickup,,2.5L,2009 (59 reg)
Nissan Navara,https://www.autotrader.co.uk,"£6,500",110000,169,Automatic,Diesel,6,Pickup,,2.5L,2009 (59 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/bedfordshire/bedford/wcs-2020-514840,"£6,495",110000,169,Automatic,Diesel,,Pickup,,2.5L,2009 (58 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/bedfordshire/bedford/priory-cars-10031049,"£10,990",42000,169,Automatic,Diesel,,Pickup,,2.5L,2009 (09 reg)
Nissan Navara,https://www.autotrader.co.uk,"£6,900",93000,169,Manual,Diesel,,Pickup,,2.5L,2009 (09 reg)
Nissan Navara,https://www.autotrader.co.uk,"£5,300",141028,169,Manual,Diesel,5,Pickup,,2.5L,2009 (58 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/oxfordshire/witney/blenheim-cars-118979,"£8,995",78000,169,Automatic,Diesel,3,Pickup,,2.5L,2009 (58 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/essex/colchester/m-v-autos-limited-29856,"£10,000",73219,169,Automatic,Diesel,4,Pickup,,2.5L,2009 (59 reg)
Nissan Navara,https://www.autotrader.co.uk,"£9,500",73027,169,Automatic,Diesel,7,Pickup,,2.5L,2009 (09 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/kent/maidstone/fairfax-europe-limited-213731,"£5,495",125000,169,Automatic,Diesel,,Pickup,,2.5L,2009 (09 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/essex/great-dunmow/the-paddock-2133927,"£6,995",101000,169,Manual,Diesel,4,Pickup,,2.5L,2009 (09 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/west-yorkshire/batley/highgrove-motor-group-10019621,"£9,495",50000,169,Manual,Diesel,,Pickup,,2.5L,2009 (58 reg)
Nissan Navara,https://www.autotrader.co.uk,"£5,500",107200,169,Manual,Diesel,5,Pickup,,2.5L,2009 (59 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/essex/purfleet/fernwood-ltd-28947,"£4,000",216000,,Automatic,Diesel,,Pickup,,2.5L,2010 (10 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/east-sussex/wadhurst/motor-4-u-limited-504849,"£4,990",197000,,Automatic,Diesel,,Pickup,,2.5L,2010 (60 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/dorset/ferndown/the-motorhome-collection-10024183,"£4,995",155000,187,Manual,Diesel,2,Pickup,,2.5L,2010 (60 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/staffordshire/burton-on-trent/bm-range-10026189,"£4,500",123931,,Manual,Diesel,2,Pickup,,2.5L,2010 (60 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/west-yorkshire/wakefield/t-and-t-motors-513666,"£6,999",80000,,Manual,Diesel,2,Pickup,,2.5L,2010 (60 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/kent/herne-bay/route-28-ltd-10007947,"£9,750",86472,169,Automatic,Diesel,4,Pickup,,2.5L,2010 (59 reg)
Nissan Navara,https://www.autotrader.co.uk,"£4,800",175000,,Manual,Diesel,5,Pickup,,2.5L,2010 (10 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/bedfordshire/leighton-buzzard/praters-10003215,"£7,750",121000,169,Automatic,Diesel,,Pickup,,2.5L,2010 (10 reg)
Nissan Navara,https://www.autotrader.co.uk,"£6,250",136000,,Manual,Diesel,3,Pickup,,2.5L,2010 (10 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/nottinghamshire/nottingham/mgt-cars-ltd-10030297,"£8,150",106000,188,Manual,Diesel,2,Pickup,,2.5L,2010 (60 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/bedfordshire/leighton-buzzard/praters-10003215,"£10,750",66000,,Manual,Diesel,,Pickup,,2.5L,2010 (10 reg)
Nissan Navara,https://www.autotrader.co.uk,"£4,800",147000,,Automatic,Diesel,5,Pickup,,2.5L,2010 (10 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/bedfordshire/bedford/priory-cars-10031049,"£8,500",95000,169,Automatic,Diesel,,Pickup,,2.5L,2010 (59 reg)
Nissan Navara,https://www.autotrader.co.uk,"£5,500",186000,,Manual,Diesel,5,Pickup,,2.5L,2010 (10 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/cheshire/warrington/warrington-car-van-sales-ltd-661876,"£7,194",144000,190,Manual,Diesel,,Pickup,,2.5L,2010 (60 reg)
Nissan Navara,https://www.autotrader.co.uk,"£4,495",199000,,Manual,Diesel,2,Pickup,,2.5L,2010 (10 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/cornwall/bude/tyr-car-sales-10017202,"£9,295",95000,169,Manual,Diesel,,Pickup,,2.5L,2010 (10 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/bedfordshire/sandy/windmill-autos-limited-743408,"£7,450",107000,,Automatic,Diesel,,Pickup,,2.5L,2010 (10 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/staffordshire/burntwood/carnet-midlands-ltd-10009576,"£12,475",118000,169,Automatic,Diesel,,Pickup,,2.5L,2010 (10 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/surrey/dorking/dsi-performance-cars-limited-10002066,"£10,990",80000,169,Automatic,Diesel,,Pickup,,2.5L,2010 (10 reg)
Nissan Navara,https://www.autotrader.co.uk,"£8,904",62000,,Manual,Diesel,2,Pickup,,2.5L,2010 (10 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/lancashire/bacup/nwd-4x4-ltd-10033843,"£12,990",96000,169,Manual,Diesel,4,Pickup,,2.5L,2010 (59 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/surrey/dorking/agm-sales-10027891,"£8,990",119000,,Automatic,Diesel,,Pickup,,2.5L,2011 (11 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/bedfordshire/leighton-buzzard/praters-10003215,"£9,750",78000,,Manual,Diesel,,Pickup,,2.5L,2011 (11 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/surrey/guildford/southern-cars-limited-10028214,"£11,990",42000,,Manual,Diesel,3,Pickup,,2.5L,2011 (11 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/devon/honiton/otter-vale-motor-services-135706,"£12,000",65000,,Manual,Diesel,,Pickup,,2.5L,2011 (11 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/northamptonshire/corby/oakley-car-sales-840413,"£11,995",41981,,Manual,Diesel,,Pickup,,2.5L,2011 (11 reg)
Nissan Navara,https://www.autotrader.co.uk,"£7,000",85000,,Automatic,Diesel,3,Pickup,,2.5L,2011 (61 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/cheshire/stockport/skp-motors-10029332,"£6,200",156000,,Manual,Diesel,4,Pickup,,2.5L,2011 (11 reg)
